Avibase.ID,Species1_BirdLife,Species2_eBird,Species3_BirdTree
AVIBASE-B3F5E5E2,Abeillia abeillei,Abeillia abeillei,Abeillia abeillei
AVIBASE-684016CB,Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis
AVIBASE-0FD03AFF,Abroscopus schisticeps,Abroscopus schisticeps,Abroscopus schisticeps
AVIBASE-A8F5D21F,Abroscopus superciliaris,Abroscopus superciliaris,Abroscopus superciliaris
AVIBASE-50A42775,Aburria aburri,Aburria aburri,Aburria aburri
AVIBASE-BFB1C22E,Acanthagenys rufogularis,Acanthagenys rufogularis,Acanthagenys rufogularis
AVIBASE-5CCF7540,Acanthidops bairdi,Acanthidops bairdi,Acanthidops bairdii
AVIBASE-0B397CB0,Acanthis flammea,NA,Carduelis flammea
AVIBASE-0B397CB0,Acanthis flammea,NA,Carduelis hornemanni
AVIBASE-A2BB98A9,Acanthis flammea,Acanthis flammea,Carduelis flammea
AVIBASE-0B397CB0,Acanthis flammea,Acanthis hornemanni,Carduelis hornemanni
AVIBASE-0B397CB0,Acanthis flammea,Acanthis cabaret,Carduelis flammea
AVIBASE-7D5E37D9,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta chloris
AVIBASE-4413633D,Acanthiza apicalis,Acanthiza apicalis,Acanthiza apicalis
AVIBASE-B1B0E343,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa
AVIBASE-BCF9128E,Acanthiza cinerea,Acanthiza cinerea,Gerygone cinerea
AVIBASE-14B92847,Acanthiza ewingii,Acanthiza ewingii,Acanthiza ewingii
AVIBASE-6601168A,Acanthiza inornata,Acanthiza inornata,Acanthiza inornata
AVIBASE-D6ACB361,Acanthiza iredalei,Acanthiza iredalei,Acanthiza iredalei
AVIBASE-E60E9E28,Acanthiza katherina,Acanthiza katherina,Acanthiza katherina
AVIBASE-D0A0845A,Acanthiza lineata,Acanthiza lineata,Acanthiza lineata
AVIBASE-87E8A565,Acanthiza murina,Acanthiza murina,Acanthiza murina
AVIBASE-D6D77AFA,Acanthiza nana,Acanthiza nana,Acanthiza nana
AVIBASE-8F6C8E9E,Acanthiza pusilla,Acanthiza pusilla,Acanthiza pusilla
AVIBASE-7B1144C8,Acanthiza reguloides,Acanthiza reguloides,Acanthiza reguloides
AVIBASE-4D64891A,Acanthiza robustirostris,Acanthiza robustirostris,Acanthiza robustirostris
AVIBASE-27F7E242,Acanthiza uropygialis,Acanthiza uropygialis,Acanthiza uropygialis
AVIBASE-9295CC66,Acanthoptila nipalensis,Turdoides nipalensis,Turdoides nipalensis
AVIBASE-C5ACCD75,Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,Acanthorhynchus superciliosus
AVIBASE-A542D690,Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris
AVIBASE-69825DA0,Acanthornis magna,Acanthornis magna,Acanthornis magna
AVIBASE-BBB59880,Accipiter albogularis,Accipiter albogularis,Accipiter albogularis
AVIBASE-1A0ECB6E,Accipiter badius,Accipiter badius,Accipiter badius
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter bicolor,Accipiter chilensis
AVIBASE-68BF920B,Accipiter brachyurus,Accipiter brachyurus,Accipiter brachyurus
AVIBASE-8492E4B7,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes
AVIBASE-6B64C150,Accipiter butleri,Accipiter butleri,Accipiter butleri
AVIBASE-9D80E72A,Accipiter castanilius,Accipiter castanilius,Accipiter castanilius
AVIBASE-21957C95,Accipiter cirrocephalus,Accipiter cirrocephalus,Accipiter cirrocephalus
AVIBASE-32760AD5,Accipiter collaris,Accipiter collaris,Accipiter collaris
AVIBASE-EB98812F,Accipiter cooperii,Accipiter cooperii,Accipiter cooperii
AVIBASE-950C5048,Accipiter erythrauchen,Accipiter erythrauchen,Accipiter erythrauchen
AVIBASE-AFD19C47,Accipiter erythropus,Accipiter erythropus,Accipiter erythropus
AVIBASE-8257AE54,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus
AVIBASE-0307D245,Accipiter francesiae,Accipiter francesiae,Accipiter francesiae
AVIBASE-420850D6,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis
AVIBASE-4C2DBB2A,Accipiter griseiceps,Accipiter griseiceps,Accipiter griseiceps
AVIBASE-797C9090,Accipiter gularis,Accipiter gularis,Accipiter gularis
AVIBASE-0EDF5A1C,Accipiter gundlachi,Accipiter gundlachi,Accipiter gundlachi
AVIBASE-18B4CE02,Accipiter haplochrous,Accipiter haplochrous,Accipiter haplochrous
AVIBASE-9288286D,Accipiter henicogrammus,Accipiter henicogrammus,Accipiter henicogrammus
AVIBASE-05701150,Accipiter henstii,Accipiter henstii,Accipiter henstii
AVIBASE-004AD91D,Accipiter hiogaster,Accipiter hiogaster,Accipiter novaehollandiae
AVIBASE-466CC533,Accipiter imitator,Accipiter imitator,Accipiter imitator
AVIBASE-EA787A01,Accipiter luteoschistaceus,Accipiter luteoschistaceus,Accipiter luteoschistaceus
AVIBASE-5D673E3E,Accipiter madagascariensis,Accipiter madagascariensis,Accipiter madagascariensis
AVIBASE-1F0322E5,Accipiter melanochlamys,Accipiter melanochlamys,Accipiter melanochlamys
AVIBASE-819AB823,Accipiter melanoleucus,Accipiter melanoleucus,Accipiter melanoleucus
AVIBASE-87B94C0E,Accipiter meyerianus,Accipiter meyerianus,Accipiter meyerianus
AVIBASE-CE1CF6FD,Accipiter minullus,Accipiter minullus,Accipiter minullus
AVIBASE-7F1573CA,Accipiter nanus,Accipiter nanus,Accipiter nanus
AVIBASE-DB376A66,Accipiter nisus,Accipiter nisus,Accipiter nisus
AVIBASE-CFB9E213,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae
AVIBASE-BAE91683,Accipiter ovampensis,Accipiter ovampensis,Accipiter ovampensis
AVIBASE-435FF493,Accipiter poliocephalus,Accipiter poliocephalus,Accipiter poliocephalus
AVIBASE-707547BB,Accipiter poliogaster,Accipiter poliogaster,Accipiter poliogaster
AVIBASE-B202721E,Accipiter princeps,Accipiter princeps,Accipiter princeps
AVIBASE-C638D858,Accipiter rhodogaster,Accipiter rhodogaster,Accipiter rhodogaster
AVIBASE-5B6F04D7,Accipiter rufitorques,Accipiter rufitorques,Accipiter rufitorques
AVIBASE-EC0E680F,Accipiter rufiventris,Accipiter rufiventris,Accipiter rufiventris
AVIBASE-D188E45C,Accipiter soloensis,Accipiter soloensis,Accipiter soloensis
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter ventralis
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter chionogaster
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter striatus
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,Accipiter erythronemius
AVIBASE-F23F7695,Accipiter superciliosus,Accipiter superciliosus,Accipiter superciliosus
AVIBASE-CB0C5D93,Accipiter sylvestris,Accipiter hiogaster,Accipiter novaehollandiae
AVIBASE-CD18635A,Accipiter tachiro,Accipiter tachiro,Accipiter tachiro
AVIBASE-8AFD72B2,Accipiter toussenelii,Accipiter toussenelii,Accipiter toussenelii
AVIBASE-0BED8100,Accipiter trinotatus,Accipiter trinotatus,Accipiter trinotatus
AVIBASE-0D4EE0EB,Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus
AVIBASE-AB823002,Accipiter virgatus,Accipiter virgatus,Accipiter virgatus
AVIBASE-01391B1A,Aceros nipalensis,Aceros nipalensis,Aceros nipalensis
AVIBASE-35C5E4AF,Achaetops pycnopygius,Achaetops pycnopygius,Achaetops pycnopygius
AVIBASE-EABE979B,Acridotheres albocinctus,Acridotheres albocinctus,Acridotheres albocinctus
AVIBASE-A0FB9485,Acridotheres burmannicus,Acridotheres burmannicus,Sturnus burmannicus
AVIBASE-5FE2771C,Acridotheres cinereus,Acridotheres cinereus,Acridotheres cinereus
AVIBASE-65BCBB64,Acridotheres cristatellus,Acridotheres cristatellus,Acridotheres cristatellus
AVIBASE-8724C64A,Acridotheres fuscus,Acridotheres fuscus,Acridotheres fuscus
AVIBASE-F8CFF92C,Acridotheres ginginianus,Acridotheres ginginianus,Acridotheres ginginianus
AVIBASE-B483CC1C,Acridotheres grandis,Acridotheres grandis,Acridotheres grandis
AVIBASE-D70B61EE,Acridotheres javanicus,Acridotheres javanicus,Acridotheres grandis
AVIBASE-DDF650D1,Acridotheres leucocephalus,Acridotheres burmannicus,Sturnus burmannicus
AVIBASE-462CDF14,Acridotheres melanopterus,Acridotheres melanopterus,Sturnus melanopterus
AVIBASE-8FEC2A63,Acridotheres tertius,Acridotheres melanopterus,Sturnus burmannicus
AVIBASE-2CE58BE1,Acridotheres tricolor,Acridotheres melanopterus,Sturnus burmannicus
AVIBASE-F23A2F38,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis
AVIBASE-36D71C61,Acritillas indica,Iole indica,Iole indica
AVIBASE-E4FC9402,Acrobatornis fonsecai,Acrobatornis fonsecai,Acrobatornis fonsecai
AVIBASE-55572D3B,Acrocephalus aequinoctialis,Acrocephalus aequinoctialis,Acrocephalus aequinoctialis
AVIBASE-781FE53F,Acrocephalus agricola,Acrocephalus agricola,Acrocephalus agricola
AVIBASE-B283E332,Acrocephalus arundinaceus,Acrocephalus arundinaceus,Acrocephalus arundinaceus
AVIBASE-32D8BFB9,Acrocephalus atyphus,Acrocephalus atyphus,Acrocephalus atyphus
AVIBASE-9597E0CA,Acrocephalus australis,Acrocephalus australis,Acrocephalus australis
AVIBASE-52440FBD,Acrocephalus australis,NA ,Acrocephalus australis
AVIBASE-1DB9A114,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps
AVIBASE-AAABFBE8,Acrocephalus brevipennis,Acrocephalus brevipennis,Acrocephalus brevipennis
AVIBASE-EC5497E6,Acrocephalus caffer,Acrocephalus caffer,Acrocephalus caffer
AVIBASE-F084CA99,Acrocephalus concinens,Acrocephalus concinens,Acrocephalus concinens
AVIBASE-B22EAFC8,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum
AVIBASE-C3F75059,Acrocephalus familiaris,Acrocephalus familiaris,Acrocephalus familiaris
AVIBASE-4AA7817D,Acrocephalus gracilirostris,Acrocephalus gracilirostris,Acrocephalus gracilirostris
AVIBASE-0D42A253,Acrocephalus griseldis,Acrocephalus griseldis,Acrocephalus griseldis
AVIBASE-121E8914,Acrocephalus hiwae,Acrocephalus hiwae,Acrocephalus luscinius
AVIBASE-87639F7A,Acrocephalus kerearako,Acrocephalus kerearako,Acrocephalus kerearako
AVIBASE-C3251DE9,Acrocephalus longirostris,Acrocephalus longirostris,Acrocephalus caffer
AVIBASE-EC92E596,Acrocephalus luscinius,Acrocephalus luscinius,Acrocephalus luscinius
AVIBASE-E1559C49,Acrocephalus melanopogon,Acrocephalus melanopogon,Acrocephalus melanopogon
AVIBASE-1F6656EC,Acrocephalus mendanae,Acrocephalus mendanae,Acrocephalus mendanae
AVIBASE-6ED7C46F,Acrocephalus newtoni,Acrocephalus newtoni,Acrocephalus newtoni
AVIBASE-9A6953ED,Acrocephalus orientalis,Acrocephalus orientalis,Acrocephalus arundinaceus
AVIBASE-6A9ED1BF,Acrocephalus orinus,Acrocephalus orinus,Acrocephalus orinus
AVIBASE-C15141A6,Acrocephalus paludicola,Acrocephalus paludicola,Acrocephalus paludicola
AVIBASE-B675E006,Acrocephalus palustris,Acrocephalus palustris,Acrocephalus palustris
AVIBASE-1EFA97FA,Acrocephalus percernis,Acrocephalus percernis,Acrocephalus mendanae
AVIBASE-50256AE7,Acrocephalus rehsei,Acrocephalus rehsei,Acrocephalus rehsei
AVIBASE-212D4791,Acrocephalus rimitarae,Acrocephalus rimitarae,Acrocephalus rimatarae
AVIBASE-DDF77AB5,Acrocephalus rodericanus,Acrocephalus rodericanus,Acrocephalus rodericanus
AVIBASE-C8857CC8,Acrocephalus rufescens,Acrocephalus rufescens,Acrocephalus rufescens
AVIBASE-FED5AED5,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus
AVIBASE-464D1419,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Acrocephalus scirpaceus
AVIBASE-34E27C2A,Acrocephalus scirpaceus,Acrocephalus baeticatus,Acrocephalus baeticatus
AVIBASE-E0E4DFB8,Acrocephalus sechellensis,Acrocephalus sechellensis,Acrocephalus sechellensis
AVIBASE-D96A9FC9,Acrocephalus sorghophilus,Acrocephalus sorghophilus,Acrocephalus sorghophilus
AVIBASE-D793DF5A,Acrocephalus stentoreus,Acrocephalus stentoreus,Acrocephalus stentoreus
AVIBASE-8CF71142,Acrocephalus syrinx,Acrocephalus syrinx,Acrocephalus syrinx
AVIBASE-48FBC371,Acrocephalus taiti,Acrocephalus taiti,Acrocephalus taiti
AVIBASE-A5134675,Acrocephalus tangorum,Acrocephalus tangorum,Acrocephalus tangorum
AVIBASE-162AE792,Acrocephalus vaughani,Acrocephalus vaughani,Acrocephalus vaughani
AVIBASE-6B6D07C9,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx
AVIBASE-F7A3FA35,Acryllium vulturinum,Acryllium vulturinum,Acryllium vulturinum
AVIBASE-97D9D953,Actenoides bougainvillei,Actenoides bougainvillei,Actenoides bougainvillei
AVIBASE-4C744DC4,Actenoides capucinus,Actenoides monachus,Actenoides monachus
AVIBASE-4A150CE8,Actenoides concretus,Actenoides concretus,Actenoides concretus
AVIBASE-53C44102,Actenoides excelsus,Actenoides bougainvillei,Actenoides bougainvillei
AVIBASE-171AA689,Actenoides hombroni,Actenoides hombroni,Actenoides hombroni
AVIBASE-0FDF970A,Actenoides lindsayi,Actenoides lindsayi,Actenoides lindsayi
AVIBASE-26AD22E0,Actenoides monachus,Actenoides monachus,Actenoides monachus
AVIBASE-C0B45D6E,Actenoides princeps,Actenoides princeps,Actenoides princeps
AVIBASE-558D8C00,Actenoides regalis,Actenoides princeps,Actenoides princeps
AVIBASE-34B1C50C,Actinodura egertoni,Actinodura egertoni,Actinodura egertoni
AVIBASE-2CCD5892,Actinodura radcliffei,Actinodura ramsayi,Actinodura ramsayi
AVIBASE-FEA407F5,Actinodura ramsayi,Actinodura ramsayi,Actinodura ramsayi
AVIBASE-E5AD68C4,Actinodura sodangorum,Actinodura sodangorum,Actinodura sodangorum
AVIBASE-8548B07E,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos
AVIBASE-0D88C072,Actitis macularius,Actitis macularius,Actitis macularius
AVIBASE-D16D486D,Actophilornis africanus,Actophilornis africanus,Actophilornis africanus
AVIBASE-640D2B03,Actophilornis albinucha,Actophilornis albinucha,Actophilornis albinucha
AVIBASE-0A1A1F0F,Adelomyia melanogenys,Adelomyia melanogenys,Adelomyia melanogenys
AVIBASE-D05FFEF7,Aechmophorus clarkii,Aechmophorus clarkii,Aechmophorus clarkii
AVIBASE-C6E1197B,Aechmophorus occidentalis,Aechmophorus occidentalis,Aechmophorus occidentalis
AVIBASE-7ED19F0D,Aegithalos annamensis,Aegithalos concinnus,Aegithalos concinnus
AVIBASE-B70389E9,Aegithalos bonvaloti,Aegithalos iouschistos,Aegithalos iouschistos
AVIBASE-C47ACB41,Aegithalos bonvaloti,Aegithalos iouschistos,Aegithalos iouschistos
AVIBASE-547163C2,Aegithalos caudatus,Aegithalos caudatus,Aegithalos caudatus
AVIBASE-A75E9867,Aegithalos concinnus,Aegithalos concinnus,Aegithalos concinnus
AVIBASE-2DAF0C85,Aegithalos fuliginosus,Aegithalos fuliginosus,Aegithalos fuliginosus
AVIBASE-67134AC3,Aegithalos glaucogularis,Aegithalos glaucogularis,Aegithalos caudatus
