BirdLife,eBird,Incu1,Incu2,Fldg1,Fldg2,Incu_Sex
Struthio camelus,Struthio camelus,42,46,3,5,B
Struthio molybdophanes,Struthio molybdophanes,42,46,120,150,B
Rhea americana,Rhea americana,27,43,,,M
Rhea pennata,Rhea pennata,30,44,,,M
Apteryx australis,Apteryx australis,75,84,5,6,B
Apteryx mantelli,Apteryx mantelli,75,84,5,6,M
Apteryx rowi,Apteryx rowi,,,,,B
Apteryx owenii,Apteryx owenii,63,76,14,21,M
Apteryx haastii,Apteryx maxima,,,,,B
Casuarius casuarius,Casuarius casuarius,47,61,,,M
Casuarius bennetti,Casuarius bennetti,49,52,,,M
Casuarius unappendiculatus,Casuarius unappendiculatus,50,,,,M
Dromaius novaehollandiae,Dromaius novaehollandiae,56,,,,M
Dromaius minor,,,,2,3,B
Dromaius baudinianus,,,,,,
Tinamus tao,Tinamus tao,,,,,M
Tinamus solitarius,Tinamus solitarius,19,20,,,M
Tinamus osgoodi,Tinamus osgoodi,,,,,
Tinamus major,Tinamus major,17,,,,M
Tinamus guttatus,Tinamus guttatus,19,,,,M
Nothocercus bonapartei,Nothocercus bonapartei,,,,,M
Nothocercus julius,Nothocercus julius,,,,,
Nothocercus nigrocapillus,Nothocercus nigrocapillus,,,,,M
Crypturellus berlepschi,Crypturellus berlepschi,,,,,
Crypturellus cinereus,Crypturellus cinereus,,,,,
Crypturellus soui,Crypturellus soui,16,,1,,B
Crypturellus ptaritepui,Crypturellus ptaritepui,,,,,
Crypturellus obsoletus,Crypturellus obsoletus,19,,,,M
Crypturellus undulatus,Crypturellus undulatus,17,,,,M
Crypturellus transfasciatus,Crypturellus transfasciatus,,,,,
Crypturellus strigulosus,Crypturellus strigulosus,13,,14,21,
Crypturellus duidae,Crypturellus duidae,,,,,
Crypturellus erythropus,Crypturellus erythropus,,,,,
Crypturellus noctivagus,Crypturellus noctivagus,17,,,,M
Crypturellus atrocapillus,Crypturellus atrocapillus,,,,,
Crypturellus cinnamomeus,Crypturellus cinnamomeus,16,,20,,
Crypturellus boucardi,Crypturellus boucardi,15,17,,,M
Crypturellus kerriae,Crypturellus kerriae,,,,,M
Crypturellus variegatus,Crypturellus variegatus,21,,1,,M
Crypturellus brevirostris,Crypturellus brevirostris,,,14,21,M
Crypturellus bartletti,Crypturellus bartletti,,,,,
Crypturellus parvirostris,Crypturellus parvirostris,19,21,,,M
Crypturellus casiquiare,Crypturellus casiquiare,,,,,
Crypturellus tataupa,Crypturellus tataupa,19,,,,M
Rhynchotus rufescens,Rhynchotus rufescens,19,21,,,M
Rhynchotus maculicollis,Rhynchotus maculicollis,,,,,
Nothoprocta taczanowskii,Nothoprocta taczanowskii,,,,,
Nothoprocta ornata,Nothoprocta ornata,22,24,1,,M
Nothoprocta perdicaria,Nothoprocta perdicaria,,,,,
Nothoprocta cinerascens,Nothoprocta cinerascens,19,20,,,M
Nothoprocta pentlandii,Nothoprocta pentlandii,20,22,,,M
Nothoprocta curvirostris,Nothoprocta curvirostris,,,,,M
Nothura boraquira,Nothura boraquira,18,21,,,M
Nothura minor,Nothura minor,,,,,
Nothura darwinii,Nothura darwinii,16,18,,,M
Nothura maculosa,Nothura maculosa,16,18,,,M
Taoniscus nanus,Taoniscus nanus,15,,,,
Eudromia elegans,Eudromia elegans,20,21,,,M
Eudromia formosa,Eudromia formosa,,,,,
Tinamotis pentlandii,Tinamotis pentlandii,,,,,
Tinamotis ingoufi,Tinamotis ingoufi,,,,,
Anhima cornuta,Anhima cornuta,40,47,,,B
Chauna chavaria,Chauna chavaria,42,44,56,70,B
Chauna torquata,Chauna torquata,43,46,56,70,B
Anseranas semipalmata,Anseranas semipalmata,23,30,77,,B
Dendrocygna viduata,Dendrocygna viduata,26,30,60,83,B
Dendrocygna autumnalis,Dendrocygna autumnalis,25,30,56,63,B
Dendrocygna guttata,Dendrocygna guttata,28,31,,49,
Dendrocygna arborea,Dendrocygna arborea,30,,,,B
Dendrocygna bicolor,Dendrocygna bicolor,19,44,63,,B
Dendrocygna eytoni,Dendrocygna eytoni,28,30,56,65,B
Dendrocygna arcuata,Dendrocygna arcuata,28,30,45,91,B
Dendrocygna javanica,Dendrocygna javanica,22,30,,,B
Thalassornis leuconotus,Thalassornis leuconotus,29,33,55,,B
Cereopsis novaehollandiae,Cereopsis novaehollandiae,34,37,70,76,F
Branta bernicla,Branta bernicla,23,29,40,45,F
Branta ruficollis,Branta ruficollis,23,25,35,42,F
Branta sandvicensis,Branta sandvicensis,29,32,70,84,F
Branta canadensis,Branta canadensis,24,30,40,86,F
Branta leucopsis,Branta leucopsis,24,25,40,45,F
Branta hutchinsii,Branta hutchinsii,25,27,42,49,F
Anser indicus,Anser indicus,27,30,49,80,F
Anser canagicus,Anser canagicus,24,25,50,60,F
Anser rossii,Anser rossii,21,22,40,45,
Anser caerulescens,Anser caerulescens,23,25,40,50,F
Anser anser,Anser anser,27,28,50,60,F
Anser cygnoid,Anser cygnoides,28,,,,F
Anser fabalis,Anser fabalis,25,29,49,91,F
Anser brachyrhynchus,Anser brachyrhynchus,25,28,49,56,F
,Anser serrirostris,25,29,49,91,
Anser albifrons,Anser albifrons,22,28,38,45,F
Anser erythropus,Anser erythropus,25,28,35,40,F
Coscoroba coscoroba,Coscoroba coscoroba,35,,91,98,F
Cygnus atratus,Cygnus atratus,35,48,95,170,F
Cygnus melancoryphus,Cygnus melancoryphus,34,36,100,,F
Cygnus olor,Cygnus olor,31,41,120,150,F
Cygnus buccinator,Cygnus buccinator,32,37,90,122,B
Cygnus columbianus,Cygnus columbianus,29,32,40,75,F
Cygnus cygnus,Cygnus cygnus,31,42,87,,F
Stictonetta naevosa,Stictonetta naevosa,26,31,49,63,F
Hymenolaimus malacorhynchos,Hymenolaimus malacorhynchos,31,35,70,82,F
Tachyeres patachonicus,Tachyeres patachonicus,30,40,84,,F
Tachyeres pteneres,Tachyeres pteneres,30,40,84,,F
Tachyeres brachypterus,Tachyeres brachypterus,28,40,84,,F
Tachyeres leucocephalus,Tachyeres leucocephalus,30,,84,,F
