SciName,Family,Order
Accipiter albogularis,Accipitridae,Accipitriformes
Accipiter badius,Accipitridae,Accipitriformes
Accipiter bicolor,Accipitridae,Accipitriformes
Accipiter brachyurus,Accipitridae,Accipitriformes
Accipiter brevipes,Accipitridae,Accipitriformes
Accipiter butleri,Accipitridae,Accipitriformes
Accipiter castanilius,Accipitridae,Accipitriformes
Accipiter chilensis,Accipitridae,Accipitriformes
Accipiter chionogaster,Accipitridae,Accipitriformes
Accipiter cirrocephalus,Accipitridae,Accipitriformes
Accipiter collaris,Accipitridae,Accipitriformes
Accipiter cooperii,Accipitridae,Accipitriformes
Accipiter erythrauchen,Accipitridae,Accipitriformes
Accipiter erythronemius,Accipitridae,Accipitriformes
Accipiter erythropus,Accipitridae,Accipitriformes
Accipiter fasciatus,Accipitridae,Accipitriformes
Accipiter francesiae,Accipitridae,Accipitriformes
Accipiter gentilis,Accipitridae,Accipitriformes
Accipiter griseiceps,Accipitridae,Accipitriformes
Accipiter gularis,Accipitridae,Accipitriformes
Accipiter gundlachi,Accipitridae,Accipitriformes
Accipiter haplochrous,Accipitridae,Accipitriformes
Accipiter henicogrammus,Accipitridae,Accipitriformes
Accipiter henstii,Accipitridae,Accipitriformes
Accipiter imitator,Accipitridae,Accipitriformes
Accipiter luteoschistaceus,Accipitridae,Accipitriformes
Accipiter madagascariensis,Accipitridae,Accipitriformes
Accipiter melanochlamys,Accipitridae,Accipitriformes
Accipiter melanoleucus,Accipitridae,Accipitriformes
Accipiter meyerianus,Accipitridae,Accipitriformes
Accipiter minullus,Accipitridae,Accipitriformes
Accipiter nanus,Accipitridae,Accipitriformes
Accipiter nisus,Accipitridae,Accipitriformes
Accipiter novaehollandiae,Accipitridae,Accipitriformes
Accipiter ovampensis,Accipitridae,Accipitriformes
Accipiter poliocephalus,Accipitridae,Accipitriformes
Accipiter poliogaster,Accipitridae,Accipitriformes
Accipiter princeps,Accipitridae,Accipitriformes
Accipiter rhodogaster,Accipitridae,Accipitriformes
Accipiter rufitorques,Accipitridae,Accipitriformes
Accipiter rufiventris,Accipitridae,Accipitriformes
Accipiter soloensis,Accipitridae,Accipitriformes
Accipiter striatus,Accipitridae,Accipitriformes
Accipiter superciliosus,Accipitridae,Accipitriformes
Accipiter tachiro,Accipitridae,Accipitriformes
Accipiter toussenelii,Accipitridae,Accipitriformes
Accipiter trinotatus,Accipitridae,Accipitriformes
Accipiter trivirgatus,Accipitridae,Accipitriformes
Accipiter ventralis,Accipitridae,Accipitriformes
Accipiter virgatus,Accipitridae,Accipitriformes
Aegypius monachus,Accipitridae,Accipitriformes
Aquila adalberti,Accipitridae,Accipitriformes
Aquila africanus,Accipitridae,Accipitriformes
Aquila audax,Accipitridae,Accipitriformes
Aquila chrysaetos,Accipitridae,Accipitriformes
Aquila clanga,Accipitridae,Accipitriformes
Aquila fasciatus,Accipitridae,Accipitriformes
Aquila gurneyi,Accipitridae,Accipitriformes
Aquila hastata,Accipitridae,Accipitriformes
Aquila heliaca,Accipitridae,Accipitriformes
Aquila nipalensis,Accipitridae,Accipitriformes
Aquila pomarina,Accipitridae,Accipitriformes
Aquila rapax,Accipitridae,Accipitriformes
Aquila verreauxii,Accipitridae,Accipitriformes
Aquila wahlbergi,Accipitridae,Accipitriformes
Aviceda cuculoides,Accipitridae,Accipitriformes
Aviceda jerdoni,Accipitridae,Accipitriformes
Aviceda leuphotes,Accipitridae,Accipitriformes
Aviceda madagascariensis,Accipitridae,Accipitriformes
Aviceda subcristata,Accipitridae,Accipitriformes
Busarellus nigricollis,Accipitridae,Accipitriformes
Butastur indicus,Accipitridae,Accipitriformes
Butastur liventer,Accipitridae,Accipitriformes
Butastur rufipennis,Accipitridae,Accipitriformes
Butastur teesa,Accipitridae,Accipitriformes
Buteo albicaudatus,Accipitridae,Accipitriformes
Buteo albigula,Accipitridae,Accipitriformes
Buteo albonotatus,Accipitridae,Accipitriformes
Buteo archeri,Accipitridae,Accipitriformes
Buteo augur,Accipitridae,Accipitriformes
Buteo auguralis,Accipitridae,Accipitriformes
Buteo brachypterus,Accipitridae,Accipitriformes
Buteo brachyurus,Accipitridae,Accipitriformes
Buteo buteo,Accipitridae,Accipitriformes
Buteo galapagoensis,Accipitridae,Accipitriformes
Buteo hemilasius,Accipitridae,Accipitriformes
Buteo jamaicensis,Accipitridae,Accipitriformes
Buteo lagopus,Accipitridae,Accipitriformes
Buteo leucorrhous,Accipitridae,Accipitriformes
Buteo lineatus,Accipitridae,Accipitriformes
Buteo magnirostris,Accipitridae,Accipitriformes
Buteo nitidus,Accipitridae,Accipitriformes
Buteo oreophilus,Accipitridae,Accipitriformes
Buteo platypterus,Accipitridae,Accipitriformes
Buteo polyosoma,Accipitridae,Accipitriformes
Buteo regalis,Accipitridae,Accipitriformes
Buteo ridgwayi,Accipitridae,Accipitriformes
Buteo rufinus,Accipitridae,Accipitriformes
Buteo rufofuscus,Accipitridae,Accipitriformes
Buteo solitarius,Accipitridae,Accipitriformes
Buteo swainsoni,Accipitridae,Accipitriformes
Buteo ventralis,Accipitridae,Accipitriformes
Buteogallus aequinoctialis,Accipitridae,Accipitriformes
Buteogallus anthracinus,Accipitridae,Accipitriformes
Buteogallus gundlachii,Accipitridae,Accipitriformes
Buteogallus meridionalis,Accipitridae,Accipitriformes
Buteogallus urubitinga,Accipitridae,Accipitriformes
Chelictinia riocourii,Accipitridae,Accipitriformes
Chondrohierax uncinatus,Accipitridae,Accipitriformes
Chondrohierax wilsonii,Accipitridae,Accipitriformes
Circaetus beaudouini,Accipitridae,Accipitriformes
Circaetus cinerascens,Accipitridae,Accipitriformes
