"LOC","STA","STATION","YEAR","IP","SP","IP_NETHRS","YR_NETHRS"
"SISK",11101,"HCME",1992,3,"A",30,240
"SISK",11101,"HCME",1992,4,"A",30,240
"SISK",11101,"HCME",1992,5,"A",30,240
"SISK",11101,"HCME",1992,6,"A",30,240
"SISK",11101,"HCME",1992,7,"A",30,240
"SISK",11101,"HCME",1992,8,"A",30,240
"SISK",11101,"HCME",1992,9,"A",30,240
"SISK",11101,"HCME",1992,10,"A",30,240
"SISK",11101,"HCME",1993,3,"A",30,240
"SISK",11101,"HCME",1993,4,"A",30,240
"SISK",11101,"HCME",1993,5,"A",30,240
"SISK",11101,"HCME",1993,6,"A",30,240
"SISK",11101,"HCME",1993,7,"A",30,240
"SISK",11101,"HCME",1993,8,"A",30,240
"SISK",11101,"HCME",1993,9,"A",30,240
"SISK",11101,"HCME",1993,10,"A",30,240
"SISK",11101,"HCME",1994,3,"A",30,240
"SISK",11101,"HCME",1994,4,"A",30,240
"SISK",11101,"HCME",1994,5,"A",30,240
"SISK",11101,"HCME",1994,6,"A",30,240
"SISK",11101,"HCME",1994,7,"A",30,240
"SISK",11101,"HCME",1994,8,"A",30,240
"SISK",11101,"HCME",1994,9,"A",30,240
"SISK",11101,"HCME",1994,10,"A",30,240
"SISK",11101,"HCME",1995,3,"A",30,240
"SISK",11101,"HCME",1995,4,"A",30,240
"SISK",11101,"HCME",1995,5,"A",30,240
"SISK",11101,"HCME",1995,6,"A",30,240
"SISK",11101,"HCME",1995,7,"A",30,240
"SISK",11101,"HCME",1995,8,"A",30,240
"SISK",11101,"HCME",1995,9,"A",30,240
"SISK",11101,"HCME",1995,10,"A",30,240
"SISK",11101,"HCME",1996,3,"A",30,240
"SISK",11101,"HCME",1996,4,"A",30,240
"SISK",11101,"HCME",1996,5,"A",30,240
"SISK",11101,"HCME",1996,6,"A",30,240
"SISK",11101,"HCME",1996,7,"A",30,240
"SISK",11101,"HCME",1996,8,"A",30,240
"SISK",11101,"HCME",1996,9,"A",30,240
"SISK",11101,"HCME",1996,10,"A",30,240
"SISK",11101,"HCME",1997,3,"A",30,240
"SISK",11101,"HCME",1997,4,"A",30,240
"SISK",11101,"HCME",1997,5,"A",30,240
"SISK",11101,"HCME",1997,6,"A",30,240
"SISK",11101,"HCME",1997,7,"A",30,240
"SISK",11101,"HCME",1997,8,"A",30,240
"SISK",11101,"HCME",1997,9,"A",30,240
"SISK",11101,"HCME",1997,10,"A",30,240
"SISK",11101,"HCME",1998,3,"A",30,240
"SISK",11101,"HCME",1998,4,"A",30,240
"SISK",11101,"HCME",1998,5,"A",30,240
"SISK",11101,"HCME",1998,6,"A",30,240
"SISK",11101,"HCME",1998,7,"A",30,240
"SISK",11101,"HCME",1998,8,"A",30,240
"SISK",11101,"HCME",1998,9,"A",30,240
"SISK",11101,"HCME",1998,10,"A",30,240
"SISK",11101,"HCME",1999,3,"A",30,240
"SISK",11101,"HCME",1999,4,"A",30,240
"SISK",11101,"HCME",1999,5,"A",30,240
"SISK",11101,"HCME",1999,6,"A",30,240
"SISK",11101,"HCME",1999,7,"A",30,240
"SISK",11101,"HCME",1999,8,"A",30,240
"SISK",11101,"HCME",1999,9,"A",30,240
"SISK",11101,"HCME",1999,10,"A",30,240
"SISK",11101,"HCME",2000,3,"A",30,240
"SISK",11101,"HCME",2000,4,"A",30,240
"SISK",11101,"HCME",2000,5,"A",30,240
"SISK",11101,"HCME",2000,6,"A",30,240
"SISK",11101,"HCME",2000,7,"A",30,240
"SISK",11101,"HCME",2000,8,"A",30,240
"SISK",11101,"HCME",2000,9,"A",30,240
"SISK",11101,"HCME",2000,10,"A",30,240
"SISK",11101,"HCME",2001,3,"A",30,240
"SISK",11101,"HCME",2001,4,"A",30,240
"SISK",11101,"HCME",2001,5,"A",30,240
"SISK",11101,"HCME",2001,6,"A",30,240
"SISK",11101,"HCME",2001,7,"A",30,240
"SISK",11101,"HCME",2001,8,"A",30,240
"SISK",11101,"HCME",2001,9,"A",30,240
"SISK",11101,"HCME",2001,10,"A",30,240
"SISK",11101,"HCME",2002,3,"A",30,240
"SISK",11101,"HCME",2002,4,"A",30,240
"SISK",11101,"HCME",2002,5,"A",30,240
"SISK",11101,"HCME",2002,6,"A",30,240
"SISK",11101,"HCME",2002,7,"A",30,240
"SISK",11101,"HCME",2002,8,"A",30,240
"SISK",11101,"HCME",2002,9,"A",30,240
"SISK",11101,"HCME",2002,10,"A",30,240
"SISK",11101,"HCME",2003,3,"A",30,120
"SISK",11101,"HCME",2003,4,"A",30,120
"SISK",11101,"HCME",2003,5,"A",30,120
"SISK",11101,"HCME",2003,6,"A",30,120
"SISK",11101,"HCME",2004,3,"A",30,239
"SISK",11101,"HCME",2004,4,"A",30,239
"SISK",11101,"HCME",2004,5,"A",30,239
"SISK",11101,"HCME",2004,6,"A",30,239
"SISK",11101,"HCME",2004,7,"A",30,239
"SISK",11101,"HCME",2004,8,"A",30,239
"SISK",11101,"HCME",2004,9,"A",30,239
"SISK",11101,"HCME",2004,10,"A",29,239
"SISK",11101,"HCME",2005,4,"A",18.3333333333333,168.166666666667
"SISK",11101,"HCME",2005,5,"A",25,168.166666666667
"SISK",11101,"HCME",2005,6,"A",25,168.166666666667
"SISK",11101,"HCME",2005,7,"A",25,168.166666666667
"SISK",11101,"HCME",2005,8,"A",25,168.166666666667
"SISK",11101,"HCME",2005,9,"A",24.8333333333333,168.166666666667
"SISK",11101,"HCME",2005,10,"A",25,168.166666666667
"SISK",11101,"HCME",2006,3,"A",20.8333333333333,191.666666666667
"SISK",11101,"HCME",2006,4,"A",25,191.666666666667
"SISK",11101,"HCME",2006,5,"A",21.6666666666667,191.666666666667
"SISK",11101,"HCME",2006,6,"A",24.1666666666667,191.666666666667
"SISK",11101,"HCME",2006,7,"A",25,191.666666666667
"SISK",11101,"HCME",2006,8,"A",25,191.666666666667
"SISK",11101,"HCME",2006,9,"A",25,191.666666666667
"SISK",11101,"HCME",2006,10,"A",25,191.666666666667
"SISK",11101,"HCME",2007,3,"A",25,200
"SISK",11101,"HCME",2007,4,"A",25,200
"SISK",11101,"HCME",2007,5,"A",25,200
