phylo,sex,family,order_,nimages,black_36_34_31,blue.dark_58_81_126,blue.light_118_156_200,brown.dark_108_89_54,brown.light_171_148_95,green.dark_56_98_48,green.light_138_172_81,grey.dark_90_85_80,grey.light_153_150_143,purple.dark_86_61_123,purple.light_192_139_179,red.dark_161_51_37,red.light_225_113_80,rufous.dark_131_71_46,rufous.light_200_128_80,white_229_228_223,yellow_229_211_134,blue_79_107_151,green_121_157_74,purple_98_70_129,red_177_67_48,rufous_164_98_62,blue.ex_79_104_150,brown.dark.res_108_89_54,brown.light.res_171_148_97,green.ex_129_157_71,purple.res_131_59_135,red.ex_175_67_50,rufous.res_164_98_62,yellow.ex_229_211_134,brown.dark.alt_111_92_56,green.sat_165_186_57,green.unsat_109_149_79,yellow.sat_237_215_81,yellow.unsat_225_209_156,sex.sel.m,sex.sel.f,territoriality,cooperative,Annual.Mean.Temperature,Annual.Precipitation,fruit.nectar.diet,Nocturnal,migration_strategy_class,developmental_mode,log10BodyMass.Value,nest.safety,openness,ForStrat.high
Abeillia_abeillei,female,trochilidae,apodiformes,1,0.166561387,5.05E-05,0,0.114637289,0.129241731,0.005659853,0.135381661,0.268287136,0.085706345,5.05E-05,2.53E-05,0,0,0,0.000227405,0.08168886,0.012481997,5.05E-05,0.141041514,7.58E-05,0,0.000227405,7.58E-05,0.114612022,0.128559517,0.141748996,0,5.05E-05,0.000227405,0.012481997,0.102786972,0.049624782,0.091416732,0.000303206,0.012178791,5,0,0,0,203.8395081,1809.664795,1,0,1,1,0.431363764,2,1,-50
Abeillia_abeillei,male,trochilidae,apodiformes,1,0.261376509,3.91E-05,3.91E-05,0.119038319,0.07497754,0.022499121,0.222823327,0.225655248,0.041463224,5.86E-05,0,0,0,9.77E-05,0,0.021796024,0.010136323,7.81E-05,0.245322448,5.86E-05,0,9.77E-05,0.000117183,0.118999258,0.074411156,0.245927893,0,1.95E-05,9.77E-05,0.010136323,0.098863326,0.087262216,0.158060232,0.000664037,0.009472286,5,0,0,0,203.8395081,1809.664795,1,0,1,1,0.431363764,2,1,-50
Abroscopus_albogularis,female,sylviidae,passeriformes,2,0.08598173,9.34E-05,3.02E-05,0.095817515,0.276386572,1.91E-05,0.010095251,0.159810702,0.07755312,1.10E-05,0,0,0,0.00732326,0.005861597,0.204646602,0.076369884,0.000123597,0.010114391,1.10E-05,0,0.013184857,0.000134626,0.095788804,0.27244178,0.014087895,0,0,0.013184857,0.076369884,0.091925032,0.006260766,0.003853625,0.041097042,0.035272843,0,0,1,0,188.8044586,1659.26709,0,0,1,1,0.684845362,4,1.5,-50
Abroscopus_albogularis,male,sylviidae,passeriformes,2,0.08598173,9.34E-05,3.02E-05,0.095817515,0.276386572,1.91E-05,0.010095251,0.159810702,0.07755312,1.10E-05,0,0,0,0.00732326,0.005861597,0.204646602,0.076369884,0.000123597,0.010114391,1.10E-05,0,0.013184857,0.000134626,0.095788804,0.27244178,0.014087895,0,0,0.013184857,0.076369884,0.091925032,0.006260766,0.003853625,0.041097042,0.035272843,0,0,1,0,188.8044586,1659.26709,0,0,1,1,0.684845362,4,1.5,-50
Abroscopus_schisticeps,female,sylviidae,passeriformes,2,0.099667051,0.000172758,2.91E-05,0.097485846,0.182976022,7.82E-05,0.017501515,0.183296633,0.132050804,1.99E-05,0,0,0,9.24E-06,0,0.175154772,0.111558091,0.000201908,0.017579723,1.99E-05,0,9.24E-06,0.000211862,0.097458123,0.177200122,0.023383346,0,9.95E-06,9.24E-06,0.111558091,0.093742106,0.010023647,0.007556076,0.077716846,0.033841245,0,0,1,0,126.849678,1617.574219,0,0,1,1,0.672097858,3,1,100
Abroscopus_schisticeps,male,sylviidae,passeriformes,2,0.099667051,0.000172758,2.91E-05,0.097485846,0.182976022,7.82E-05,0.017501515,0.183296633,0.132050804,1.99E-05,0,0,0,9.24E-06,0,0.175154772,0.111558091,0.000201908,0.017579723,1.99E-05,0,9.24E-06,0.000211862,0.097458123,0.177200122,0.023383346,0,9.95E-06,9.24E-06,0.111558091,0.093742106,0.010023647,0.007556076,0.077716846,0.033841245,0,0,1,0,126.849678,1617.574219,0,0,1,1,0.672097858,3,1,100
Abroscopus_superciliaris,female,sylviidae,passeriformes,3,0.052512058,3.56E-05,0,0.110861022,0.15667875,0,0.009541989,0.146426977,0.124061386,0,0,0,0,0,3.87E-05,0.156302072,0.243541527,3.56E-05,0.009541989,0,0,3.87E-05,3.56E-05,0.110861022,0.139522506,0.026698232,0,0,3.87E-05,0.243541527,0.107953268,0.008330157,0.001211832,0.202888812,0.040652715,0,0,1,0,241.4930267,2423.14502,0,0,1,1,0.811575006,4,1,-20
Abroscopus_superciliaris,male,sylviidae,passeriformes,3,0.052512058,3.56E-05,0,0.110861022,0.15667875,0,0.009541989,0.146426977,0.124061386,0,0,0,0,0,3.87E-05,0.156302072,0.243541527,3.56E-05,0.009541989,0,0,3.87E-05,3.56E-05,0.110861022,0.139522506,0.026698232,0,0,3.87E-05,0.243541527,0.107953268,0.008330157,0.001211832,0.202888812,0.040652715,0,0,1,0,241.4930267,2423.14502,0,0,1,1,0.811575006,4,1,-20
Aburria_aburri,female,cracidae,galliformes,1,0.668074238,0.0008173,0.001634599,0.002111357,0.019717351,3.41E-05,3.41E-05,0.250332028,0.017912481,0,0,0.000442704,0.000136217,0.001498382,0.00378001,0.019717351,0.013757875,0.002451899,6.81E-05,0,0.00057892,0.005278393,0.002451899,0.002111357,0.019513026,0.000272433,0,0.00057892,0.005278393,0.013757875,0.001600545,0,6.81083E-05,0.000647029,0.013110846,0,0,1,0,172.6957703,2003.385986,1,0,1,0,3.147701052,2,1,50
Aburria_aburri,male,cracidae,galliformes,1,0.668074238,0.0008173,0.001634599,0.002111357,0.019717351,3.41E-05,3.41E-05,0.250332028,0.017912481,0,0,0.000442704,0.000136217,0.001498382,0.00378001,0.019717351,0.013757875,0.002451899,6.81E-05,0,0.00057892,0.005278393,0.002451899,0.002111357,0.019513026,0.000272433,0,0.00057892,0.005278393,0.013757875,0.001600545,0,6.81083E-05,0.000647029,0.013110846,0,0,1,0,172.6957703,2003.385986,1,0,1,0,3.147701052,2,1,50
Acanthagenys_rufogularis,female,meliphagidae,passeriformes,1,0.157740444,0,0,0.002217462,0.018077949,0,0,0.188221145,0.254857744,0.00018792,0.001315443,0.001428196,0.003157064,0.000563761,0.002856391,0.326680949,0.042695531,0,0,0.001503364,0.00458526,0.003420153,0,0.002217462,0.018077949,0,0,0.006088623,0.003420153,0.042695531,0.001804037,0,0,0,0.042695531,0,0,2,0,216.8433838,354.635498,0,0,1,1,1.679427897,2,2.25,20
Acanthagenys_rufogularis,male,meliphagidae,passeriformes,1,0.157740444,0,0,0.002217462,0.018077949,0,0,0.188221145,0.254857744,0.00018792,0.001315443,0.001428196,0.003157064,0.000563761,0.002856391,0.326680949,0.042695531,0,0,0.001503364,0.00458526,0.003420153,0,0.002217462,0.018077949,0,0,0.006088623,0.003420153,0.042695531,0.001804037,0,0,0,0.042695531,0,0,2,0,216.8433838,354.635498,0,0,1,1,1.679427897,2,2.25,20
Acanthidops_bairdii,female,emberizidae,passeriformes,1,0.067604151,0,0,0.057602647,0.220935479,0,0,0.287963102,0.276608011,0,0,0,0,0,0,0.076928861,0.012357748,0,0,0,0,0,0,0.057602647,0.220935479,0,0,0,0,0.012357748,0.051636838,0,0,0,0.012357748,0,0,1,0,217.4533234,3201.582275,0,0,1,1,1.204119983,2,1,-75
