Scientific name,Adult survival,Age at first reproduction,Maximum longevity
Struthio camelus,0.87,3.65,41.93
Struthio molybdophanes,0.87,3.5,50
Rhea americana,0.31,2.07,23.1
Rhea pennata,0.33,2.22,29.51
Rhea tarapacensis,0.33,2.5,50
Nothocercus julius,0.84,2.12,16.35
Nothocercus bonapartei,0.74,1.86,14.85
Nothocercus nigrocapillus,0.76,1.89,16.83
Tinamus tao,0.8,2.23,18.16
Tinamus solitarius,0.62,1.53,14.63
Tinamus osgoodi,0.87,2.81,21.11
Tinamus major,0.81,2.21,17.08
Tinamus guttatus,0.71,1.94,16.09
Crypturellus berlepschi,0.83,2.01,15.67
Crypturellus cinereus,0.81,2.4,17.81
Crypturellus ptaritepui,0.81,1.92,15.1
Crypturellus soui,0.79,1.9,13.96
Crypturellus obsoletus,0.77,1.87,15.19
Crypturellus undulatus,0.74,2.02,16.22
Crypturellus strigulosus,0.78,1.94,14.97
Crypturellus duidae,0.82,1.94,15.02
Crypturellus erythropus,0.82,2.14,15.93
Crypturellus noctivagus,0.76,1.93,17.37
Crypturellus atrocapillus,0.81,1.96,15.73
Crypturellus occidentalis,0.81,2.91,25.31
Crypturellus cinnamomeus,0.81,2.08,16.31
Crypturellus transfasciatus,0.76,1.78,13.5
Crypturellus boucardi,0.77,1.87,14.99
Crypturellus kerriae,0.81,1.92,15.15
Crypturellus variegatus,0.82,2.45,17.7
Crypturellus brevirostris,0.82,1.92,14.96
Crypturellus bartletti,0.79,1.74,13.71
Crypturellus casiquiare,0.82,1.92,14.93
Crypturellus parvirostris,0.68,1.52,13.67
Crypturellus tataupa,0.73,1.63,13.26
Rhynchotus rufescens,0.84,2.39,18.8
Rhynchotus maculicollis,0.83,2.21,17.94
Nothoprocta taczanowskii,0.81,1.98,15.84
Nothoprocta ornata,0.67,1.62,15.62
Nothoprocta perdicaria,0.7,1.62,14.69
Nothoprocta cinerascens,0.57,1.34,11.49
Nothoprocta pentlandii,0.63,1.41,13.77
Nothoprocta curvirostris,0.81,1.89,14.8
Nothura boraquira,0.76,1.78,7.25
Nothura minor,0.76,1.61,6.21
Nothura darwinii,0.72,1.6,7.17
Nothura maculosa,0.72,1.62,7.1
Nothura chacoensis,0.77,1.71,6.64
Taoniscus nanus,0.69,1.33,10.51
Eudromia elegans,0.72,1.8,18.14
Eudromia formosa,0.76,1.99,18.31
Tinamotis pentlandii,0.71,1.77,16.64
Tinamotis ingoufi,0.46,1.14,13.8
Casuarius casuarius,0.91,4,32.38
Casuarius bennetti,0.91,3.83,30.75
Casuarius unappendiculatus,0.93,3.85,29.46
Dromaius novaehollandiae,0.82,2.25,28.83
Dromaius minor,0.82,2,30
Dromaius baudinianus,0.82,2,30
