"","SPEC","min_adult","estimate","conf.low","conf.high","n","COMMONNAME","Species1_BirdLife","Species2_eBird","Species3_BirdTree","phylo","sex.sel.m","sex.sel.f"
"1","BHGR",3,-0.0077706648632057,-0.00997845830452093,-0.00595360936414663,867,"Black-headed Grosbeak","Pheucticus melanocephalus","Pheucticus melanocephalus","Pheucticus melanocephalus","Pheucticus_melanocephalus",0,0
"2","BUSH",5,-0.0227862612851694,-0.0281115404854685,-0.0182923029140465,499,"Bushtit","Psaltriparus minimus","Psaltriparus minimus","Psaltriparus minimus","Psaltriparus_minimus",3,3
"3","HEWA",1,-0.0677144609270607,-0.102847400944042,-0.0430003582696844,438,"Hermit Warbler","Setophaga occidentalis","Setophaga occidentalis","Dendroica occidentalis","Dendroica_occidentalis",0,0
"4","HOWR",4,-0.0197389539176536,-0.0232377509562277,-0.0167489621836318,1128,"House Wren","Troglodytes aedon","Troglodytes aedon","Troglodytes aedon","Troglodytes_aedon",2,0
"5","LAZB",8,-0.00535314574812004,-0.00712379260673326,-0.00398728995726308,434,"Lazuli Bunting","Passerina amoena","Passerina amoena","Passerina amoena","Passerina_amoena",1,0
"6","MGWA",4,-0.00986956471398361,-0.0123410756485324,-0.00773735333575173,1476,"MacGillivray's Warbler","Geothlypis tolmiei","Geothlypis tolmiei","Oporornis tolmiei","Oporornis_tolmiei",0,0
"7","NAWA",4,-0.0548112314823067,-0.0758510472110577,-0.0387774702041555,519,"Nashville Warbler","Leiothlypis ruficapilla","Leiothlypis ruficapilla","Vermivora ruficapilla","Vermivora_ruficapilla",0,0
"8","OCWA",6,-0.00729552107437328,-0.00898233008061201,-0.00587228948981999,762,"Orange-crowned Warbler","Leiothlypis celata","Leiothlypis celata","Vermivora celata","Vermivora_celata",0,0
"9","ORJU",5,-0.0213970940166726,-0.0266597946467801,-0.0170737850586147,1321,"Oregon Junco","Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco_hyemalis",1,0
"10","PUFI",10,-0.00306028160072399,-0.004098373149947,-0.00230570455241346,614,"Purple Finch","Haemorhous purpureus","Haemorhous purpureus","Carpodacus purpureus","Carpodacus_purpureus",0,0
"11","RBSA",4,-0.0322663157063153,-0.0372688132233038,-0.0276457175334802,565,"Red-breasted Sapsucker","Sphyrapicus ruber","Sphyrapicus ruber","Sphyrapicus ruber","Sphyrapicus_ruber",0,0
"12","SOSP",5,-0.0137706739498758,-0.0154143533048613,-0.0122999606247012,2689,"Song Sparrow","Melospiza melodia","Melospiza melodia","Melospiza melodia","Melospiza_melodia",2,0
"13","SPTO",2,-0.0344138405856981,-0.043249189754844,-0.0268629504557538,848,"Spotted Towhee","Pipilo maculatus","Pipilo maculatus","Pipilo maculatus",NA,NA,NA
