"","SPEC","COMMONNAME","Species1_BirdLife","Species2_eBird","Species3_BirdTree","phylo","sex.sel.m","sex.sel.f"
"1","BHGR","Black-headed Grosbeak","Pheucticus melanocephalus","Pheucticus melanocephalus","Pheucticus melanocephalus","Pheucticus_melanocephalus",0,0
"2","BUSH","Bushtit","Psaltriparus minimus","Psaltriparus minimus","Psaltriparus minimus","Psaltriparus_minimus",3,3
"3","HEWA","Hermit Warbler","Setophaga occidentalis","Setophaga occidentalis","Dendroica occidentalis","Dendroica_occidentalis",0,0
"4","HOWR","House Wren","Troglodytes aedon","Troglodytes aedon","Troglodytes aedon","Troglodytes_aedon",2,0
"5","LAZB","Lazuli Bunting","Passerina amoena","Passerina amoena","Passerina amoena","Passerina_amoena",1,0
"6","MGWA","MacGillivray's Warbler","Geothlypis tolmiei","Geothlypis tolmiei","Oporornis tolmiei","Oporornis_tolmiei",0,0
"7","NAWA","Nashville Warbler","Leiothlypis ruficapilla","Leiothlypis ruficapilla","Vermivora ruficapilla","Vermivora_ruficapilla",0,0
"8","OCWA","Orange-crowned Warbler","Leiothlypis celata","Leiothlypis celata","Vermivora celata","Vermivora_celata",0,0
"9","ORJU","Oregon Junco","Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco_hyemalis",1,0
"10","PUFI","Purple Finch","Haemorhous purpureus","Haemorhous purpureus","Carpodacus purpureus","Carpodacus_purpureus",0,0
"11","RBSA","Red-breasted Sapsucker","Sphyrapicus ruber","Sphyrapicus ruber","Sphyrapicus ruber","Sphyrapicus_ruber",0,0
"12","SOSP","Song Sparrow","Melospiza melodia","Melospiza melodia","Melospiza melodia","Melospiza_melodia",2,0
"13","SPTO","Spotted Towhee","Pipilo maculatus","Pipilo maculatus","Pipilo maculatus",NA,NA,NA
"14","WAVI","Warbling Vireo","Vireo gilvus","Vireo gilvus","Vireo gilvus","Vireo_gilvus",0,0
"15","WEFL","Western Flycatcher","Empidonax difficilis","Empidonax difficilis","Empidonax difficilis","Empidonax_difficilis",1,0
"16","WETA","Western Tanager","Piranga ludoviciana","Piranga ludoviciana","Piranga ludoviciana","Piranga_ludoviciana",0,0
"17","WIWA","Wilson's Warbler","Cardellina pusilla","Cardellina pusilla","Wilsonia pusilla","Wilsonia_pusilla",2,0
"18","WREN","Wrentit","Chamaea fasciata","Chamaea fasciata","Chamaea fasciata","Chamaea_fasciata",0,0
"19","AMRO","American Robin","Turdus migratorius","Turdus migratorius","Turdus migratorius","Turdus_migratorius",0,0
"20","AUWA","Audubon's Warbler","Setophaga coronata","Setophaga coronata","Dendroica coronata","Dendroica_coronata",0,0
"21","BUOR","Bullock's Oriole","Icterus bullockiorum","Icterus bullockii","Icterus bullockii",NA,NA,NA
"22","CBCH","Chestnut-backed Chickadee","Poecile rufescens","Poecile rufescens","Parus rufescens","Parus_rufescens",0,0
"23","DOWO","Downy Woodpecker","Dryobates pubescens","Dryobates pubescens","Picoides pubescens","Picoides_pubescens",0,0
"24","HOFI","House Finch","Haemorhous mexicanus","Haemorhous mexicanus","Carpodacus mexicanus","Carpodacus_mexicanus",0,1
"25","SWTH","Swainson's Thrush","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus_ustulatus",0,0
"26","BRCR","Brown Creeper","Certhia americana","Certhia americana","Certhia americana","Certhia_americana",0,0
"27","DUFL","Dusky Flycatcher","Empidonax oberholseri","Empidonax oberholseri","Empidonax oberholseri","Empidonax_oberholseri",0,2
"28","GCKI","Golden-crowned Kinglet","Regulus satrapa","Regulus satrapa","Regulus satrapa","Regulus_satrapa",0,0
"29","HAFL","Hammond's Flycatcher","Empidonax hammondii","Empidonax hammondii","Empidonax hammondii","Empidonax_hammondii",0,0
"30","HETH","Hermit Thrush","Catharus guttatus","Catharus guttatus","Catharus guttatus","Catharus_guttatus",0,0
"31","LISP","Lincoln's Sparrow","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii","Melospiza_lincolnii",0,0
"32","MOCH","Mountain Chickadee","Poecile gambeli","Poecile gambeli","Parus gambeli","Parus_gambeli",0,0
"33","RBNU","Red-breasted Nuthatch","Sitta canadensis","Sitta canadensis","Sitta canadensis","Sitta_canadensis",0,0
"34","WEWP","Western Wood-Pewee","Contopus sordidulus","Contopus sordidulus","Contopus sordidulus","Contopus_sordidulus",1,0
"35","YEWA","Yellow Warbler","Setophaga petechia","Setophaga petechia","Dendroica petechia","Dendroica_petechia",1,0
"36","LEGO","Lesser Goldfinch","Spinus psaltria","Spinus psaltria","Carduelis psaltria","Carduelis_psaltria",0,0
"37","YBCH","Yellow-breasted Chat","Icteria virens","Icteria virens","Icteria virens","Icteria_virens",2,0
"38","BCCH","Black-capped Chickadee","Poecile atricapillus","Poecile atricapillus","Parus atricapillus","Parus_atricapillus",1,1
"39","GRCA","Gray Catbird","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis","Dumetella_carolinensis",1,0
"40","AMRE","American Redstart","Setophaga ruticilla","Setophaga ruticilla","Setophaga ruticilla","Setophaga_ruticilla",2,0
