"","SPEC","slope_sign","min_adult","max_adult","term","contrast","estimate","conf.low","conf.high"
"1","BHGR","negative",3,66,"Adult","dY/dX",-0.0077706648632057,-0.00997845830452093,-0.00595360936414663
"2","BUSH","negative",5,83,"Adult","dY/dX",-0.0227862612851694,-0.0281115404854685,-0.0182923029140465
"3","HEWA","negative",1,26,"Adult","dY/dX",-0.0677144609270607,-0.102847400944042,-0.0430003582696844
"4","HOWR","negative",4,51,"Adult","dY/dX",-0.0197389539176536,-0.0232377509562277,-0.0167489621836318
"5","LAZB","negative",8,69,"Adult","dY/dX",-0.00535314574812004,-0.00712379260673326,-0.00398728995726308
"6","MGWA","negative",4,57,"Adult","dY/dX",-0.00986956471398361,-0.0123410756485324,-0.00773735333575173
"7","NAWA","negative",4,27,"Adult","dY/dX",-0.0548112314823067,-0.0758510472110577,-0.0387774702041555
"8","OCWA","negative",6,113,"Adult","dY/dX",-0.00729552107437328,-0.00898233008061201,-0.00587228948981999
"9","ORJU","negative",5,55,"Adult","dY/dX",-0.0213970940166726,-0.0266597946467801,-0.0170737850586147
"10","PUFI","negative",10,154,"Adult","dY/dX",-0.00306028160072399,-0.004098373149947,-0.00230570455241346
"11","RBSA","negative",4,19,"Adult","dY/dX",-0.0322663157063153,-0.0372688132233038,-0.0276457175334802
"12","SOSP","negative",5,90,"Adult","dY/dX",-0.0137706739498758,-0.0154143533048613,-0.0122999606247012
"13","SPTO","negative",2,30,"Adult","dY/dX",-0.0344138405856981,-0.043249189754844,-0.0268629504557538
"14","WAVI","negative",2,285,"Adult","dY/dX",-0.00089843572653759,-0.00125419435243964,-0.000628371343018075
"15","WEFL","negative",0,96,"Adult","dY/dX",-0.011408868773965,-0.0160199554967247,-0.0078223405295948
"16","WETA","negative",8,135,"Adult","dY/dX",-0.00420152327884036,-0.00552218447797509,-0.00314374130923013
"17","WIWA","negative",3,500,"Adult","dY/dX",-0.00171390584614335,-0.00213528540299919,-0.00135182969285291
"18","WREN","negative",4,51,"Adult","dY/dX",-0.029044632743862,-0.0374423842284259,-0.0224235551409024
"19","AMRO","negative",3,49,"Adult","dY/dX",-0.0107606096134393,-0.0123039916998539,-0.00939589847429026
"20","AUWA","negative",7,39,"Adult","dY/dX",-0.0172949651258399,-0.0218204487426852,-0.0132055955954428
"21","BUOR","negative",7,38,"Adult","dY/dX",-0.0132066486721703,-0.0172534432302696,-0.00998890773408803
"22","CBCH","negative",3,31,"Adult","dY/dX",-0.0567979568352884,-0.0728486478814802,-0.0432448212208928
"23","DOWO","negative",1,10,"Adult","dY/dX",-0.130190957692643,-0.152553235791852,-0.109837481093316
"24","HOFI","negative",9,76,"Adult","dY/dX",-0.0118878223267557,-0.016197511355689,-0.00800134612550446
"25","SWTH","negative",8,336,"Adult","dY/dX",-0.000724649086214051,-0.000867988585897507,-0.000603551726190515
"26","BRCR","negative",2,15,"Adult","dY/dX",-0.0824329157769152,-0.105424673496992,-0.061644784558659
"27","DUFL","negative",8,64,"Adult","dY/dX",-0.00414295029819425,-0.00529221576625608,-0.00317193926215958
"28","GCKI","negative",3,30,"Adult","dY/dX",-0.0853837461653079,-0.123476151454405,-0.0581132356264117
"29","HAFL","negative",0,18,"Adult","dY/dX",-0.0556469726397834,-0.0885303157123123,-0.0330111971088674
"30","HETH","negative",2,27,"Adult","dY/dX",-0.0206904093020657,-0.0254393212671427,-0.0164818686472569
"31","LISP","negative",7,35,"Adult","dY/dX",-0.0169471295870629,-0.0202002930044215,-0.0139507411575799
"32","MOCH","negative",2,29,"Adult","dY/dX",-0.039384496441172,-0.0491569655186289,-0.0308578362936236
"33","RBNU","negative",2,15,"Adult","dY/dX",-0.092288423088787,-0.121526001643567,-0.0676599993969663
"34","WEWP","negative",0,19,"Adult","dY/dX",-0.0244083018233718,-0.0363653411572633,-0.0155720687654289
"35","YEWA","negative",10,374,"Adult","dY/dX",-0.00138438833200624,-0.00160098038761872,-0.00118759131308183
"36","LEGO","negative",13,64,"Adult","dY/dX",-0.00765120031667843,-0.0114491958340853,-0.00445868808023559
"37","YBCH","negative",9,172,"Adult","dY/dX",-0.0016791519292409,-0.00199342046051657,-0.0014032944376612
"38","BCCH","negative",1,32,"Adult","dY/dX",-0.0589349533648771,-0.0707050023184639,-0.0485198215613687
"39","GRCA","negative",12,113,"Adult","dY/dX",-0.00439107306062851,-0.00514883906987578,-0.00373795359288109
"40","AMRE","negative",7,51,"Adult","dY/dX",-0.0086544948791924,-0.0112421941177425,-0.00657017283441496
"41","CHSP","negative",5,34,"Adult","dY/dX",-0.0147651821081266,-0.0189978622399695,-0.0113707544908
"42","COYE","negative",6,115,"Adult","dY/dX",-0.00417732166254639,-0.00470566654174134,-0.00369656984550478
"43","REVI","negative",3,36,"Adult","dY/dX",-0.00711912916889857,-0.00940292847850595,-0.00513066555267223
"44","VEER","negative",2,48,"Adult","dY/dX",-0.00765696593230022,-0.00983552246574569,-0.00575790865666642
"45","BEWR","negative",3,33,"Adult","dY/dX",-0.0622704504402777,-0.0738156115968841,-0.052647048791655
"46","NOCA","negative",5,47,"Adult","dY/dX",-0.0117582796256625,-0.0133587858019258,-0.0102664105798772
"47","BAWW","negative",3,14,"Adult","dY/dX",-0.048640536954459,-0.0573863174583986,-0.0406551437356356
"48","OVEN","negative",2,29,"Adult","dY/dX",-0.0226222385285268,-0.0274153147514514,-0.0184246447537671
"49","BWWA","negative",7,29,"Adult","dY/dX",-0.0139466769202185,-0.0175464505911406,-0.010758879636984
"50","EATO","negative",3,20,"Adult","dY/dX",-0.0255468761898286,-0.030668547973026,-0.0208516734704109
"51","FISP","negative",8,41,"Adult","dY/dX",-0.0097514968161547,-0.0123819790426955,-0.00750679188645462
"52","INBU","negative",8,46,"Adult","dY/dX",-0.00333359803152493,-0.00407826461690042,-0.00260924627727398
"53","TUTI","negative",2,17,"Adult","dY/dX",-0.0800081792232541,-0.0905104908351369,-0.0699265872513618
"54","WOTH","negative",3,61,"Adult","dY/dX",-0.00724092045564322,-0.00825448365037441,-0.0063022928783058
"55","CARW","negative",0,68,"Adult","dY/dX",-0.0268529586907292,-0.0333880327020534,-0.0208667001161734
"56","KEWA","negative",6,31,"Adult","dY/dX",-0.0191015948377356,-0.0222205121169826,-0.0162619987616111
"57","LOWA","negative",3,15,"Adult","dY/dX",-0.0756295540366297,-0.0952865141240482,-0.0590596993806474
"58","ACFL","negative",0,34,"Adult","dY/dX",-0.00817410084851495,-0.0118088910127267,-0.0054454267751228
"59","CACH","negative",2,24,"Adult","dY/dX",-0.0399403392975954,-0.0475128841988669,-0.0332927715788573
"60","WEVI","negative",8,63,"Adult","dY/dX",-0.00649165561410351,-0.00792631020647643,-0.00527469799374415
"61","PABU","negative",19,99,"Adult","dY/dX",-0.00321704757705886,-0.00440668936756651,-0.00178104349373843
"62","HOWA","negative",7,66,"Adult","dY/dX",-0.00678822441237212,-0.00908653977845036,-0.00512030153926192
