"","SPEC","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","ACFL","Intercept",-0.5272,0.1111,-0.7485,-0.309,0.9999,5379,7210
"2","ACFL","hu_Intercept",0.3195,0.2044,-0.0875,0.7137,1.0002,8113,7810
"3","ACFL","Adult",-0.1072,0.015,-0.1395,-0.0803,1,3579,5027
"4","ACFL","hu_Adult",-0.0562,0.0247,-0.1038,-0.0061,1.0002,7781,7809
"5","ACFL","STA_sd(Intercept)",0.3154,0.1354,0.0376,0.5829,1.0014,3163,3180
"6","ACFL","STA_sd(Ad",0.0403,0.0147,0.0132,0.0711,1.0016,2170,2376
"7","ACFL","STA_sd(hu_Intercept)",0.3153,0.2421,0.0129,0.9095,1,4776,6584
"8","ACFL","STA_sd(hu_Ad",0.0576,0.0327,0.0058,0.1363,1.0004,2685,3947
"9","ACFL","STA_cor(Intercept,Ad",-0.6681,0.3394,-0.9704,0.4024,1.0007,2854,2783
"10","ACFL","STA_cor(hu_Intercept,hu_Ad",-0.4106,0.5494,-0.9882,0.862,1.0005,2918,5216
"11","ACFL","year_sd(Intercept)",0.0477,0.0369,0.002,0.1382,1.0007,6834,6754
"12","ACFL","year_sd(hu_Intercept)",0.1844,0.1314,0.0076,0.4864,1.0001,6078,6567
"13","ACFL","sigma",0.5677,0.0289,0.5132,0.6275,1.0008,6084,7341
"14","AMRE","Intercept",-0.1519,0.1513,-0.4483,0.1403,1.0003,5755,6827
"15","AMRE","hu_Intercept",0.6261,0.2149,0.2104,1.0547,1.0004,7371,7649
"16","AMRE","Adult",-0.1033,0.0169,-0.1386,-0.0722,0.9999,5408,6970
"17","AMRE","hu_Adult",-0.2442,0.0462,-0.3459,-0.1648,1.0015,4756,6610
"18","AMRE","STA_sd(Intercept)",0.809,0.1237,0.5905,1.0726,1.0016,5563,7028
"19","AMRE","STA_sd(Ad",0.0738,0.0141,0.0492,0.1047,1.0005,4049,6223
"20","AMRE","STA_sd(hu_Intercept)",0.6397,0.2825,0.0879,1.2142,1.0004,3981,4031
"21","AMRE","STA_sd(hu_Ad",0.1073,0.0515,0.0137,0.2151,1.0029,2448,4029
"22","AMRE","STA_cor(Intercept,Ad",-0.5666,0.1456,-0.7944,-0.2336,1.0008,4307,5970
"23","AMRE","STA_cor(hu_Intercept,hu_Ad",0.0925,0.4844,-0.7466,0.9439,1.0005,3139,5552
"24","AMRE","year_sd(Intercept)",0.0726,0.0495,0.0033,0.1836,1.0005,5382,6427
"25","AMRE","year_sd(hu_Intercept)",0.1439,0.109,0.0058,0.4051,1.0004,6241,6334
"26","AMRE","sigma",0.6713,0.0267,0.6221,0.7262,1.0006,7490,7496
"27","AMRO","Intercept",0.017,0.066,-0.1132,0.1454,0.9999,6659,7374
"28","AMRO","hu_Intercept",0.3556,0.1189,0.1178,0.5856,0.9999,7629,7846
"29","AMRO","Adult",-0.1348,0.0099,-0.1548,-0.1164,1,5185,6770
"30","AMRO","hu_Adult",-0.2184,0.0232,-0.266,-0.1751,1.0004,5545,7061
"31","AMRO","STA_sd(Intercept)",0.5828,0.057,0.4765,0.6992,1.0007,5831,7071
"32","AMRO","STA_sd(Ad",0.0737,0.0088,0.0576,0.0923,1.0006,2491,4974
"33","AMRO","STA_sd(hu_Intercept)",0.693,0.1477,0.4105,0.9873,1.0004,5121,6624
"34","AMRO","STA_sd(hu_Ad",0.0934,0.0284,0.0411,0.1521,1.0015,2028,4520
"35","AMRO","STA_cor(Intercept,Ad",-0.6148,0.0905,-0.7655,-0.4121,1.001,3169,4874
"36","AMRO","STA_cor(hu_Intercept,hu_Ad",0.1299,0.3934,-0.5262,0.9103,1.0014,2315,3550
"37","AMRO","year_sd(Intercept)",0.0428,0.0274,0.0021,0.1027,1.0007,5392,5893
"38","AMRO","year_sd(hu_Intercept)",0.135,0.0783,0.008,0.2973,1.0001,5149,5724
"39","AMRO","sigma",0.6988,0.0141,0.6716,0.7271,1.0004,8321,7813
"40","AUWA","Intercept",-0.0568,0.1185,-0.2926,0.1749,1.0001,7448,7517
"41","AUWA","hu_Intercept",0.0325,0.1962,-0.3592,0.4166,1.0003,7374,7351
"42","AUWA","Adult",-0.0721,0.0137,-0.1011,-0.0464,0.9998,5460,7165
"43","AUWA","hu_Adult",-0.1583,0.0277,-0.2154,-0.1068,1,6864,7537
"44","AUWA","STA_sd(Intercept)",0.4081,0.1334,0.152,0.6701,1.0004,4346,4467
"45","AUWA","STA_sd(Ad",0.047,0.0137,0.0227,0.0756,1.0005,2842,4800
"46","AUWA","STA_sd(hu_Intercept)",0.3747,0.2233,0.024,0.848,1.0005,4964,5240
"47","AUWA","STA_sd(hu_Ad",0.0765,0.0341,0.0104,0.1474,1.0009,2356,3737
"48","AUWA","STA_cor(Intercept,Ad",0.0838,0.395,-0.5621,0.8947,1.0002,2412,3628
"49","AUWA","STA_cor(hu_Intercept,hu_Ad",-0.0184,0.5255,-0.8745,0.9368,1.0003,2343,4061
"50","AUWA","year_sd(Intercept)",0.227,0.0673,0.1012,0.3652,1.0003,5361,5524
"51","AUWA","year_sd(hu_Intercept)",0.4035,0.1535,0.1013,0.7255,1.0002,4935,4675
"52","AUWA","sigma",0.9266,0.03,0.8698,0.9886,1.0003,7394,7490
"53","BAWW","Intercept",0.4119,0.077,0.2644,0.5669,1.0003,6699,7279
"54","BAWW","hu_Intercept",0.4036,0.2097,-0.0144,0.8095,1.0005,6502,7507
