"","SPEC","slope_sign","min_adult","max_adult"
"1","ACFL","positive",NA,NA
"2","ACFL","zero",NA,NA
"3","ACFL","negative",0,34
"4","AMRE","positive",NA,NA
"5","AMRE","zero",0,6
"6","AMRE","negative",7,51
"7","AMRO","positive",NA,NA
"8","AMRO","zero",0,2
"9","AMRO","negative",3,49
"10","AUWA","positive",NA,NA
"11","AUWA","zero",0,6
"12","AUWA","negative",7,39
"13","BAWW","positive",NA,NA
"14","BAWW","zero",0,2
"15","BAWW","negative",3,14
"16","BCCH","positive",NA,NA
"17","BCCH","zero",0,0
"18","BCCH","negative",1,32
"19","BEWR","positive",0,1
"20","BEWR","zero",2,2
"21","BEWR","negative",3,33
"22","BHGR","positive",NA,NA
"23","BHGR","zero",0,2
"24","BHGR","negative",3,66
"25","BRCR","positive",NA,NA
"26","BRCR","zero",0,1
"27","BRCR","negative",2,15
"28","BUOR","positive",NA,NA
"29","BUOR","zero",0,6
"30","BUOR","negative",7,38
"31","BUSH","positive",0,2
"32","BUSH","zero",3,4
"33","BUSH","negative",5,83
"34","BWWA","positive",NA,NA
"35","BWWA","zero",0,6
"36","BWWA","negative",7,29
"37","CACH","positive",NA,NA
"38","CACH","zero",0,1
"39","CACH","negative",2,24
"40","CARW","positive",NA,NA
"41","CARW","zero",NA,NA
"42","CARW","negative",0,68
"43","CBCH","positive",NA,NA
"44","CBCH","zero",0,2
"45","CBCH","negative",3,31
"46","CHSP","positive",NA,NA
"47","CHSP","zero",0,4
"48","CHSP","negative",5,34
"49","COYE","positive",NA,NA
"50","COYE","zero",0,5
"51","COYE","negative",6,115
"52","DOWO","positive",NA,NA
"53","DOWO","zero",0,0
"54","DOWO","negative",1,10
"55","DUFL","positive",NA,NA
"56","DUFL","zero",0,7
"57","DUFL","negative",8,64
"58","EATO","positive",NA,NA
"59","EATO","zero",0,2
"60","EATO","negative",3,20
"61","FISP","positive",0,3
"62","FISP","zero",4,7
"63","FISP","negative",8,41
"64","GCKI","positive",NA,NA
"65","GCKI","zero",0,2
"66","GCKI","negative",3,30
"67","GRCA","positive",0,6
"68","GRCA","zero",7,11
"69","GRCA","negative",12,113
"70","HAFL","positive",NA,NA
"71","HAFL","zero",NA,NA
"72","HAFL","negative",0,18
"73","HETH","positive",NA,NA
"74","HETH","zero",0,1
"75","HETH","negative",2,27
"76","HEWA","positive",NA,NA
"77","HEWA","zero",0,0
"78","HEWA","negative",1,26
"79","HOFI","positive",0,4
"80","HOFI","zero",5,8
"81","HOFI","negative",9,76
"82","HOWA","positive",0,1
"83","HOWA","zero",2,6
"84","HOWA","negative",7,66
"85","HOWR","positive",0,0
"86","HOWR","zero",1,3
"87","HOWR","negative",4,51
"88","INBU","positive",NA,NA
"89","INBU","zero",0,7
"90","INBU","negative",8,46
"91","KEWA","positive",NA,NA
"92","KEWA","zero",0,5
"93","KEWA","negative",6,31
"94","LAZB","positive",NA,NA
"95","LAZB","zero",0,7
"96","LAZB","negative",8,69
"97","LEGO","positive",NA,NA
"98","LEGO","zero",0,12
"99","LEGO","negative",13,64
"100","LISP","positive",0,2
"101","LISP","zero",3,6
"102","LISP","negative",7,35
"103","LOWA","positive",NA,NA
"104","LOWA","zero",0,2
"105","LOWA","negative",3,15
"106","MGWA","positive",NA,NA
"107","MGWA","zero",0,3
"108","MGWA","negative",4,57
"109","MOCH","positive",NA,NA
"110","MOCH","zero",0,1
"111","MOCH","negative",2,29
"112","NAWA","positive",NA,NA
"113","NAWA","zero",0,3
"114","NAWA","negative",4,27
"115","NOCA","positive",NA,NA
"116","NOCA","zero",0,4
"117","NOCA","negative",5,47
"118","OCWA","positive",0,0
"119","OCWA","zero",1,5
"120","OCWA","negative",6,113
"121","ORJU","positive",NA,NA
"122","ORJU","zero",0,4
"123","ORJU","negative",5,55
"124","OVEN","positive",NA,NA
"125","OVEN","zero",0,1
"126","OVEN","negative",2,29
"127","PABU","positive",NA,NA
"128","PABU","zero",0,18
"129","PABU","negative",19,99
"130","PUFI","positive",NA,NA
"131","PUFI","zero",0,9
"132","PUFI","negative",10,154
"133","RBNU","positive",NA,NA
"134","RBNU","zero",0,1
"135","RBNU","negative",2,15
"136","RBSA","positive",NA,NA
"137","RBSA","zero",0,3
"138","RBSA","negative",4,19
"139","REVI","positive",NA,NA
"140","REVI","zero",0,2
"141","REVI","negative",3,36
"142","SOSP","positive",0,2
"143","SOSP","zero",3,4
"144","SOSP","negative",5,90
"145","SPTO","positive",NA,NA
"146","SPTO","zero",0,1
"147","SPTO","negative",2,30
"148","SWTH","positive",NA,NA
"149","SWTH","zero",0,7
"150","SWTH","negative",8,336
"151","TUTI","positive",0,0
"152","TUTI","zero",1,1
"153","TUTI","negative",2,17
"154","VEER","positive",NA,NA
"155","VEER","zero",0,1
"156","VEER","negative",2,48
"157","WAVI","positive",NA,NA
"158","WAVI","zero",0,1
"159","WAVI","negative",2,285
"160","WEFL","positive",NA,NA
"161","WEFL","zero",NA,NA
"162","WEFL","negative",0,96
"163","WETA","positive",NA,NA
"164","WETA","zero",0,7
"165","WETA","negative",8,135
"166","WEVI","positive",NA,NA
"167","WEVI","zero",0,7
