"","SPEC","m1_elpd","m1_SE","m2_elpd","m2_SE","m3_elpd","m3_SE"
"1","BHGR",-771.131994730117,37.2272298747235,-724.832532637221,35.5958449127458,-727.482393179124,35.5939682745194
"2","HEWA",-689.373740516625,27.2504595781976,-684.931734569452,27.4725149635034,-685.769401399369,27.5834219033648
"3","HOWR",-1350.84720329112,37.8240944087677,-1316.55091208521,37.6456395944958,-1317.4287212176,37.6667680040659
"4","LAZB",-331.787066442482,22.8982242051882,-315.232142965603,23.2563266863162,-315.512210754457,23.4486646035395
"5","MGWA",-1024.10157189465,43.9634645014219,-971.153102023942,43.6930182469834,-971.183636116273,43.7022704534406
"6","NAWA",-830.190771492807,28.2193737928274,-824.213434882855,28.8661608482847,-823.023553028531,28.9442519016643
"7","OCWA",-837.986533123939,31.8221070263053,-807.448558020807,31.6247771006428,-809.70383616773,31.6584018267811
"8","ORJU",-1598.46259741903,44.9022938350393,-1573.98653813632,44.9009029467829,-1571.63918602715,45.1281929552819
"9","PUFI",-593.944535011192,27.8694198974805,-564.381750406034,29.2626141615772,-565.735476692051,29.5564976679959
"10","RBSA",-553.226636767236,21.4263924699971,-535.768416714425,21.0708780367521,-538.110164464888,21.1481664498597
"11","SOSP",-3055.98512252256,58.2350297516011,-2969.77988829745,57.2402608680984,-2972.69222850682,57.1634975145019
"12","SPTO",-944.185921824189,32.3337049996726,-906.689544356869,32.2753934557436,-908.003428661656,32.3404124843822
"13","WREN",-755.282745453904,22.4006022008136,-719.67284034695,23.3554521098796,-711.148005016349,23.5072095708612
"14","AMRO",-2044.91815292539,54.7916565068754,-1971.59034412297,54.123040251528,-1971.7149814326,54.1559599598262
"15","AUWA",-925.155947093239,34.9182722552036,-918.661275139325,35.1544956425629,-915.689095795688,34.8716227156848
"16","BUOR",-378.719728883865,22.4841857054784,-366.700184557682,23.007636324353,-368.66420059716,23.2259094200873
"17","DOWO",-2126.12386622473,39.187827803843,-2099.42957573075,39.4074253029805,-2098.13726029884,39.5166604379323
"18","HOFI",-456.060843448311,22.5858508337048,-431.220601672037,23.3769877738125,-435.527407526958,23.2501265021821
"19","BRCR",-661.875759661161,25.3358410446942,-658.668933862172,25.2278541483554,-650.570811293968,25.2073404464734
"20","DUFL",-322.41434674412,21.9205913881864,-308.338537290252,22.7318621043815,-303.109124094188,22.9444663466449
"21","GCKI",-948.451310303726,29.1099901431325,-945.972207138554,28.7412183692327,-941.580322002603,29.1606395718721
"22","HAFL",-382.489779120527,20.5846630638869,-368.893543434946,20.3959040046897,-370.570110268188,20.4348457851502
"23","HETH",-645.034681808264,23.0434515258407,-621.252750258356,22.5471785478552,-624.659946676912,23.0430023965362
"24","LISP",-553.64946401996,28.5001979700174,-532.424603943329,28.9617888547294,-530.159917822854,28.8289448884394
"25","MOCH",-799.900027072119,25.7330697166894,-795.564708769425,25.3249252713334,-796.815603811409,25.4662998347976
"26","RBNU",-622.83613654101,21.5409741222726,-613.533425622744,22.1513967397952,-611.925726449343,22.6928349919462
"27","WEWP",-276.067833030396,20.098913479517,-276.602359132355,20.2005939927898,-278.706323299442,20.1041482005863
"28","LEGO",-380.629932537116,22.2603488776771,-356.302868691062,22.4397027210737,-357.365044299464,22.4135801923529
"29","YBCH",-329.807407424402,32.2803763378213,-266.614168167653,31.598452429041,-264.402587465443,31.5591748176381
"30","BCCH",-2509.4804970613,43.3114732657315,-2454.23290848129,43.450778429589,-2448.81912458316,44.0309771288386
"31","GRCA",-686.883535579803,44.5046211747558,-637.888710860622,43.3173638804369,-638.703740821551,43.3261679652049
"32","AMRE",-506.695479710759,30.427981025318,-472.480739882102,30.0216214522116,-473.879726338807,29.9031018527337
"33","CHSP",-428.846080199615,23.6917795145366,-412.715254346638,23.9921483546912,-417.117508861072,24.4904039499544
"34","COYE",-1342.04392297681,49.8331169138634,-1276.51166298129,48.8661062592072,-1277.90395563181,48.8738356412405
"35","REVI",-265.959471696974,20.0082714213047,-251.545785539145,19.9754006650263,-251.750106815456,19.9066101629039
"36","VEER",-313.115404856082,25.5998970363325,-297.821421789469,25.4636323300754,-298.90820384687,25.4775029472152
"37","BEWR",-1260.42729039738,30.8249573466965,-1219.54571719215,31.977460467816,-1221.98239214578,31.8193950190723
"38","NOCA",-1469.07362841277,44.4505389135283,-1430.71776172275,45.0903207335352,-1418.62408002587,45.2068954267533
"39","BAWW",-586.978801686194,22.2692286938711,-574.94340855052,23.0926863761259,-576.5261352323,23.1515005212741
"40","OVEN",-1121.17666266155,36.8578490591511,-1077.18394819965,37.1934391058822,-1077.93068889841,37.2138111163143
"41","BWWA",-267.590823929725,20.6238778131248,-257.636302387774,21.2776766481224,-259.181630617423,21.2152252802935
"42","FISP",-322.870818242751,23.222989208664,-281.828045431884,23.0334568015641,-275.232055181738,23.4187320332496
"43","INBU",-289.304735045554,27.4386941728422,-273.756560190615,26.9688417225894,-265.253622223965,27.3964658458827
"44","TUTI",-1863.85582850234,35.5978990023671,-1831.73768653622,36.3565237176322,-1834.98645398111,36.370636294433
"45","WOTH",-896.227844103062,37.1070961894413,-808.084749488635,36.6315824902884,-808.92149811131,36.6979719142578
"46","CARW",-1906.89667607326,37.7726854846702,-1801.0976052757,37.0291294595921,-1799.33417934505,36.8750522445637
"47","KEWA",-561.229033134555,28.7092128425865,-532.551502068744,28.5411599347124,-531.013917164363,28.6028004950911
"48","LOWA",-507.75703377117,20.8245093703314,-501.667286114504,21.1650402360591,-503.590615489972,21.2132155464808
"49","WEVI",-675.005361158223,32.9074360618994,-606.076048279224,32.5174491861159,-599.253620298907,32.8114352297233
"50","PABU",-266.362386042387,22.8371764144289,-259.51042602312,22.6479267894444,-259.148523878102,22.941982703827
"51","HOWA",-343.365431497827,26.5300182983233,-310.405182127247,26.7511058901193,-307.333882178229,26.9307398170991
"52","BUSH",-806.056193560484,30.0014637385744,-772.505299873828,28.3948286496949,-766.848778740492,28.5373326825258
"53","WAVI",-432.994499090282,29.0506133679052,-392.892309983982,28.6740416164354,-387.512215129938,28.1768920573703
"54","WEFL",-986.020766109556,36.6475601368791,-911.684918160453,35.7053305691898,-915.086599365028,35.9478305742892
"55","WETA",-574.041942579032,27.8311298172475,-556.371891765639,25.9957559067318,-563.580717321462,26.4833076471159
"56","WIWA",-1073.84941388967,44.4582896478061,-954.886883495646,43.0184380950267,-954.939584326585,43.1043938843117
"57","CBCH",-1003.0197627374,28.4618577949645,-975.456572134349,27.1815092713363,-976.224554450811,27.3705083892613
"58","YEWA",-1103.48964595332,59.0083435370661,-1004.88796167936,47.5296659382611,-1006.31793644312,47.669371837057
"59","EATO",-441.954118582636,22.7926812841067,-408.761067092263,22.1960528153318,-408.836377787629,22.1556192512946
"60","ACFL",-197.949626794801,21.6925612514002,-192.060993875973,21.0519112695709,-194.271477950868,21.1110170279343
"61","CACH",-1178.73742797239,33.6640814474043,-1158.72594335714,32.6840449286508,-1152.46339631001,32.6307091463227
"62","SWTH",-269.913285829805,46.174943682827,-216.594238092591,44.6402293034375,-197.061232220741,44.5113430941882
