model,family,nobs,component,group,term,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
MinAdultLH,NA,NA,fixed,NA,Intercept,1.193,0.358,0.437,1.855,1,5462.595,5279.329
MinAdultLH,NA,NA,fixed,NA,scMaximum.longevity,0.057,0.127,-0.199,0.3,1.001,5254.707,5643.397
MinAdultLH,NA,NA,fixed,NA,sclitter_or_clutch_size_n,-0.083,0.155,-0.383,0.226,1.002,5615.471,5509.261
MinAdultLH,NA,NA,random,BirdTree,sd(Intercept),0.571,0.195,0.222,0.985,1.002,3594.676,3560.149
MinAdultMorph,NA,NA,fixed,NA,Intercept,1.228,0.367,0.458,1.922,1,4199.428,4920.797
MinAdultMorph,NA,NA,fixed,NA,scBeak_PC1,-0.013,0.254,-0.521,0.488,1,5113.072,5321.402
MinAdultMorph,NA,NA,fixed,NA,scBeak_PC2,-0.194,0.131,-0.45,0.07,1,4718.214,5303.435
MinAdultMorph,NA,NA,fixed,NA,scHWI,-0.04,0.117,-0.28,0.187,1,4524.849,4970.228
MinAdultMorph,NA,NA,fixed,NA,scLNMass,-0.052,0.246,-0.545,0.424,1,5025.554,5269.372
MinAdultMorph,NA,NA,random,BirdTree,sd(Intercept),0.572,0.207,0.2,1.01,1.001,3162.353,3485.23
MinAdultSS,NA,NA,fixed,NA,Intercept,1.331,0.289,0.682,1.823,1.001,3898.842,3901.592
MinAdultSS,NA,NA,fixed,NA,scDC,0.213,0.115,-0.026,0.435,1.001,3683.235,4659.721
MinAdultSS,NA,NA,fixed,NA,scDM,0.036,0.135,-0.234,0.291,1.001,4565.666,5053.451
MinAdultSS,NA,NA,fixed,NA,sc_ssF,0.059,0.119,-0.168,0.298,1,5195.652,5146.749
MinAdultSS,NA,NA,fixed,NA,sc_ssM,0.02,0.105,-0.199,0.221,1,5030.895,4947.936
MinAdultSS,NA,NA,random,BirdTree,sd(Intercept),0.4,0.217,0.034,0.875,1.001,2448.168,3237.108
MinAdultTrophic,NA,NA,fixed,NA,Intercept,1.27,0.321,0.591,1.87,1,4822.127,4875.641
MinAdultTrophic,NA,NA,fixed,NA,scDiet,-0.201,0.152,-0.501,0.097,1,5338.274,5498.413
MinAdultTrophic,NA,NA,fixed,NA,scStrata,-0.125,0.094,-0.314,0.06,1.001,4967.835,5324.939
MinAdultTrophic,NA,NA,fixed,NA,scTrophicLevel,-0.377,0.153,-0.683,-0.082,1,5068.466,5228.863
MinAdultTrophic,NA,NA,random,BirdTree,sd(Intercept),0.484,0.188,0.142,0.888,1,3554.3,3077.182
SlopeLH,NA,NA,fixed,NA,Intercept,-4.124,0.331,-4.681,-3.335,1,3883.803,3893.194
SlopeLH,NA,NA,fixed,NA,scMaximum.longevity,-0.032,0.16,-0.337,0.305,1.001,4915.645,4985.525
SlopeLH,NA,NA,fixed,NA,sclitter_or_clutch_size_n,0.604,0.162,0.288,0.92,1.001,4774.745,5170.863
SlopeLH,NA,NA,random,BirdTree,sd(Intercept),0.409,0.28,0.018,1.044,1.001,2300.054,3895.717
SlopeMorph,NA,NA,fixed,NA,Intercept,-3.972,0.643,-5.252,-2.684,1.001,3969.327,4345.395
SlopeMorph,NA,NA,fixed,NA,scBeak_PC1,-0.284,0.38,-1.032,0.431,1,3029.922,4292.921
SlopeMorph,NA,NA,fixed,NA,scBeak_PC2,0.299,0.211,-0.119,0.726,1,5077.697,5043.875
SlopeMorph,NA,NA,fixed,NA,scHWI,0.085,0.188,-0.287,0.449,1,2921.576,4443.121
SlopeMorph,NA,NA,fixed,NA,scLNMass,0.252,0.392,-0.484,1.053,1,2779.786,4125.959
SlopeMorph,NA,NA,random,BirdTree,sd(Intercept),1.181,0.386,0.393,1.954,1.003,1345.106,1705.394
SlopeSS,NA,NA,fixed,NA,Intercept,-4.263,0.408,-5.075,-3.4,1.001,5509.738,5291.614
SlopeSS,NA,NA,fixed,NA,scDC,-0.263,0.18,-0.599,0.108,1,3947.339,4975.971
SlopeSS,NA,NA,fixed,NA,scDM,0.188,0.168,-0.149,0.509,1.001,5080.285,5357.713
SlopeSS,NA,NA,fixed,NA,sc_ssF,0.156,0.157,-0.148,0.466,1,4963.391,4834.687
SlopeSS,NA,NA,fixed,NA,sc_ssM,-0.299,0.154,-0.594,-0.001,1,4995.379,5026.971
SlopeSS,NA,NA,random,BirdTree,sd(Intercept),0.669,0.33,0.058,1.344,1.001,1951.239,3043.603
SlopeTrophic,NA,NA,fixed,NA,Intercept,-3.999,0.561,-5.097,-2.835,1.001,4453.908,4479.424
SlopeTrophic,NA,NA,fixed,NA,scDiet,0.119,0.219,-0.309,0.546,1,5052.782,5436.917
SlopeTrophic,NA,NA,fixed,NA,scStrata,0.23,0.146,-0.052,0.518,1,5087.479,5277.94
SlopeTrophic,NA,NA,fixed,NA,scTrophicLevel,0.238,0.237,-0.23,0.705,1,5108.998,4892.008
SlopeTrophic,NA,NA,random,BirdTree,sd(Intercept),1.014,0.339,0.328,1.71,1.001,1491.92,2177.847
